package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
perl-sub-exporter-progressive,0,0,0,0,0,0
linkchecker,0,0,0,0,0,0
perl-devel-lexalias,0,0,0,0,0,0
python-jeepney,0,0,0,0,0,0
python-six,0,0,1,0,1,1
python-retryz,0,0,0,0,0,0
r-mvtnorm,0,0,0,0,0,0
xmltoman,1,0,0,0,1,1
perl-test-warn,0,0,0,0,0,0
perl-business-issn,0,0,0,0,0,0
libgovirt,1,0,1,1,1,3
rubygem-curb,0,0,2,0,1,2
perl-test-portability-files,0,0,0,0,0,0
python-pylons-sphinx-themes,0,0,0,0,0,0
perl-extutils-makemaker,1,0,4,1,1,6
xfce4-sensors-plugin,0,0,0,0,0,0
keyutils,0,0,0,1,1,1
cdrdao,0,0,2,0,1,2
python-lexicon,0,0,1,0,1,1
zip,6,0,2,4,1,12
perl-fcgi,0,0,1,0,1,1
perl-unicode-normalize,1,0,0,0,1,1
perl-capture-tiny,0,0,0,0,0,0
mod_intercept_form_submit,0,0,0,0,0,0
hyphen-de,0,0,0,0,0,0
lohit-kannada-fonts,0,0,0,0,0,0
libidl,1,0,4,0,1,5
perl-bit-vector,0,0,0,0,0,0
libssh2,0,0,2,1,1,3
hunspell-tet,0,0,0,0,0,0
groff,0,0,6,1,1,7
hunspell-pa,0,0,0,0,0,0
madan-fonts,0,0,0,1,1,1
rubygem-bcrypt,0,0,0,0,0,0
python-testscenarios,0,0,0,0,0,0
zerofree,0,0,0,0,0,0
gpsd,1,0,1,0,1,2
atf,0,0,0,1,1,1
rubygem-redcloth,2,0,0,0,1,2
jbigkit,1,2,1,2,1,6
perl-spreadsheet-writeexcel,1,0,0,0,1,1
accountsservice,0,0,2,2,1,4
python-straight-plugin,0,0,1,0,1,1
python-mistune,0,0,0,0,0,0
perl-importer,0,0,0,0,0,0
python-iniparse,0,0,2,1,1,3
gperftools,0,1,0,2,1,3
js-jquery,0,0,1,0,1,1
os-prober,5,0,9,1,1,15
subversion,4,0,4,3,1,11
patch,16,3,7,4,1,30
rubygem-delorean,0,0,0,0,0,0
libquvi-scripts,0,0,1,0,1,1
perl-xstring,0,0,0,0,0,0
hunspell-tn,0,0,0,0,0,0
foomatic-db,2,0,0,0,1,2
python-argon2-cffi-bindings,0,0,0,0,0,0
opencc,0,0,1,1,1,2
libbonoboui,0,0,0,0,0,0
python-pytest-randomly,0,0,0,0,0,0
python-oauth2client,3,0,0,0,1,3
tcl,3,0,1,4,1,8
xxhash,0,0,0,0,0,0
perl-pod-simple,0,0,0,0,0,0
liblouis,0,0,0,0,0,0
hyphen-mr,0,0,0,0,0,0
perl-mime-base64,0,0,0,0,0,0
python-astral,0,0,0,0,0,0
obs-service-download_files,0,0,0,0,0,0
perl-string-shellquote,0,0,0,0,0,0
aopalliance,0,0,0,0,0,0
cmark,0,0,0,0,0,0
perl-moo,0,0,0,0,0,0
apache-commons-collections4,0,0,0,0,0,0
xcb-util-xrm,0,0,0,0,0,0
copy-jdk-configs,0,0,0,1,1,1
exo,0,0,0,0,0,0
perl-date-calc,0,0,0,0,0,0
perl-package-generator,0,0,0,0,0,0
perl-ldap,3,0,0,0,1,3
pps-tools,0,0,0,0,0,0
r-inline,0,0,0,0,0,0
perl-ntlm,0,0,1,0,1,1
bsf,2,0,0,0,1,2
python-simpleline,0,0,0,0,0,0
phodav,0,0,0,1,1,1
perl-libnet,1,0,1,0,1,2
perl-class-isa,0,0,0,0,0,0
python-entrypoints,0,0,0,0,0,0
hunspell-cop,0,0,0,0,0,0
zathura-ps,0,0,0,0,0,0
ftgl,2,0,2,0,1,4
rubygem-cucumber-core,0,0,0,0,0,0
lftp,1,0,3,5,1,9
json_simple,1,0,0,0,1,1
perl-www-mechanize,0,0,0,0,0,0
python-hyperlink,0,0,0,0,0,0
python-jsonpatch,0,0,1,0,1,1
sassc,0,0,0,0,0,0
forge-parent,0,0,0,0,0,0
perl-netaddr-ip,0,0,0,0,0,0
perl-module-install-authorrequires,0,0,0,0,0,0
hunspell-ak,0,0,0,0,0,0
