package,fedora_patch,debian_patch,type,fedora_time,debian_time
maelstrom,install.patch,game_installdir.patch,common,2006-05-09 05:38:19+00:00,2025-04-08 21:59:34+02:00
gnome-taquin,0001-Don-t-alter-or-try-to-write-GtkChild-fields.patch,Don-t-alter-or-try-to-write-GtkChild-fields.patch,common,2021-07-22 09:55:30+03:00,2021-10-23 16:09:51-04:00
gnome-taquin,0001-Reference-of-GtkChild-fields-is-handled-by-GtkBuilde.patch,Reference-of-GtkChild-fields-is-handled-by-GtkBuilder-typ.patch,similar,2021-07-22 09:55:30+03:00,2021-10-23 16:09:51-04:00
mdns-scan,mdns-scan-0.5-typo.patch,spelling.patch,common,2020-06-07 13:35:56+02:00,2018-11-18 17:19:39+01:00
fcgiwrap,fcgiwrap-1.1.0-declare_cgi_error_noreturn.patch,declare_cgi_error_noreturn.patch,common,2018-11-08 13:58:20-06:00,2017-08-05 12:16:09-04:00
fcgiwrap,fcgiwrap-1.1.0-use_pkg-config_libsystemd.patch,libsystemd.patch,common,2018-11-08 13:58:20-06:00,2015-07-14 01:59:39+02:00
dee,vapi-skip-properties.patch,vapi-skip-properties.patch,common,2020-05-18 16:24:44+02:00,2019-09-30 20:48:52+05:30
d52,d52v341-format-security.patch,20-fix-format-security-error.patch,common,2014-06-16 19:03:03-05:00,
autogen,autogen-fortify.patch,40_suse_06-autogen-avoid-GCC-code-analysis-bug.patch,common,2023-02-28 16:42:43+01:00,2022-05-24 19:08:52+02:00
opendmarc,opendmarc-1.4.0-ticket159-179.patch,ticket159.patch,similar,2021-04-25 17:36:30-07:00,2018-03-11 11:48:25-04:00
zaz,zaz-1.0.0-jumpy_keyboard.patch,jumpy_keyboard.patch,common,2016-01-04 15:33:28+01:00,2020-06-01 12:42:54+02:00
libgadu,libgadu-1.12.2-gcc10.patch,0001-Fix-compilation-with-fno-common.patch,common,2020-02-24 16:57:02+01:00,2020-04-28 09:42:06+01:00
caribou,drop_gir_patch.patch,stop-patching-generated-gir.patch,common,2021-04-20 10:03:00+01:00,2021-12-12 18:21:47+01:00
caribou,Fix-subkey-popmenu-not-showing-after-being-dismissed.patch,Fix-subkey-popmenu-not-showing-after-being-dismissed.patch,common,2021-01-13 09:53:17+00:00,2021-01-15 15:57:09+01:00
caribou,fix-style-css.patch,fix-font-property-in-style.css.patch,common,2020-01-08 16:41:38+00:00,2017-12-01 20:10:19+00:00
caribou,Fix-compilation-error.patch,Fix-compilation-error.patch,common,2021-01-13 09:53:17+00:00,2021-01-15 15:57:09+01:00
caribou,xadapter.vala-Remove-XkbKeyTypesMask-and-f.patch,xadapter.vala-Remove-XkbKeyTypesMask-and-f.patch,common,2021-01-13 09:53:17+00:00,2021-01-15 15:57:09+01:00
abiword,abiword-3.0.0-librevenge.patch,librevenge.patch,similar,2014-05-27 16:28:17+02:00,2014-08-09 11:33:06+10:00
tlf,tlf-1.4.1-format-security-fix.patch,warnings-as-errors.patch,similar,2022-08-07 02:32:44+02:00,2021-10-24 14:31:22-07:00
dateutils,841c635bf283e4b023bd98fbff9ebda1f340b024.patch,0005-a-fix-for-dzone.008.patch,common,2022-12-18 18:39:30-05:00,2023-02-02 18:36:25+01:00
lv,lv-+num-option.patch,20050502_~+num-pat-option.diff,common,2005-10-31 06:35:12+00:00,2014-03-20 22:37:50+09:00
lv,lv-no-sigvec.patch,sigvec.patch,common,2014-10-15 16:11:04+09:00,2015-04-27 21:56:01+09:00
lv,lv-fastio.patch,20050506_%src%file.c_~enable-fastio-use-fread.2.diff,common,2005-10-31 06:35:12+00:00,2014-03-20 22:37:50+09:00
lv,lv-c99.patch,fix_implicit_decls.diff,similar,2022-12-17 23:04:31+01:00,2020-11-15 18:48:48+09:00
