package,common,same_func_diff_content,unique_fedora,unique_other,has_patch,patch_count
phasex,0,0,2,5,1,7
grace,0,0,4,14,1,18
python-qpageview,0,0,0,0,0,0
libreoffice-texmaths,0,0,0,0,0,0
firewalk,0,0,2,5,1,7
zathura-cb,0,0,0,0,0,0
mosh,0,0,0,0,0,0
pavumeter,0,0,0,2,1,2
libsigsegv,0,0,1,0,1,1
glew,0,0,2,1,1,3
python-jsmin,0,0,1,0,1,1
jmtpfs,0,0,0,0,0,0
python-xstatic-angular-fileupload,0,0,0,0,0,0
urlview,0,0,1,5,1,6
lzop,0,0,0,0,0,0
mcpp,0,0,4,6,1,10
pbzip2,0,0,1,2,1,3
python-etcd3,0,0,0,1,1,1
rust-users,0,0,0,1,1,1
wtype,0,0,0,0,0,0
rust-natord,0,0,0,0,0,0
mtr,0,0,0,1,1,1
lxlauncher,0,0,0,1,1,1
shntool,3,0,1,0,1,4
aiksaurus,0,0,3,2,1,5
libchipcard,0,0,0,0,0,0
gnome-chemistry-utils,4,2,1,0,1,7
erlang-goldrush,0,0,0,0,0,0
xtrlock,0,0,2,0,1,2
hercules,0,0,2,6,1,8
fcitx-cloudpinyin,0,0,0,0,0,0
guichan,0,0,1,5,1,6
lastpass-cli,0,0,1,1,1,2
libvirt-dbus,0,0,0,0,0,0
ghemical,2,0,0,3,1,5
dvtm,0,0,1,7,1,8
rust-lmdb-sys,0,0,1,1,1,2
e3,0,0,1,3,1,4
zynaddsubfx,0,0,3,4,1,7
gummi,0,0,0,2,1,2
cksfv,0,0,0,2,1,2
bcg729,0,0,1,0,1,1
rust-prometheus,0,0,1,1,1,2
cln,0,0,0,0,0,0
zopfli,0,0,0,1,1,1
uisp,0,0,3,6,1,9
libmongo-client,0,0,0,2,1,2
cbonsai,0,0,0,1,1,1
frogr,0,0,0,0,0,0
efax,0,0,13,12,1,25
kshutdown,0,0,0,1,1,1
givaro,0,0,1,2,1,3
maliit-framework,0,0,0,3,1,3
python-i3ipc,0,0,1,1,1,2
libdmtx,0,0,0,1,1,1
golang-github-joho-godotenv,0,0,0,0,0,0
rust-adler32,0,0,2,1,1,3
mikmod,0,0,0,1,1,1
php-guzzlehttp-promises,0,0,0,2,1,2
python-prov,0,0,0,3,1,3
cmatrix,0,0,1,2,1,3
gemdropx,0,0,0,7,1,7
python-itsdangerous,0,0,0,1,1,1
sharutils,1,0,4,3,1,8
python-hglib,0,0,1,0,1,1
ktikz,0,0,1,0,1,1
cubicsdr,0,0,1,4,1,5
python-coloredlogs,0,0,0,0,0,0
nrg2iso,0,1,0,1,1,2
nbtscan,0,0,0,0,0,0
tikzit,0,0,0,1,1,1
freealut,0,0,2,4,1,6
golang-github-jdkato-prose,0,0,0,0,0,0
netsniff-ng,0,0,0,0,0,0
dsfmt,0,0,3,5,1,8
tmispell-voikko,1,0,1,2,1,4
fpart,0,0,0,0,0,0
ecryptfs-utils,0,1,20,1,1,22
ocaml-mew,0,0,1,0,1,1
japa,0,0,0,1,1,1
python-pathtools,0,0,1,0,1,1
sipsak,0,0,0,0,0,0
flobopuyo,2,0,3,6,1,11
libconfuse,0,0,1,2,1,3
bombardier,0,0,3,0,1,3
eiciel,0,0,0,0,0,0
netsed,0,0,0,2,1,2
spice,0,0,0,3,1,3
z80asm,0,0,1,0,1,1
zita-at1,0,0,0,2,1,2
icoutils,0,0,1,1,1,2
xsettingsd,0,0,0,0,0,0
libmygpo-qt,0,0,0,2,1,2
golang-github-hashicorp-hcl,0,0,0,0,0,0
jgmenu,0,0,0,0,0,0
python-ebooklib,0,0,0,0,0,0
basez,0,0,1,3,1,4
peek,0,0,1,0,1,1
bless,0,0,2,1,1,3
autossh,0,0,1,3,1,4
