package,fedora_patch,debian_patch,type,fedora_time,debian_time
tcltls,tcltls-1.7.21-cipher-tests.patch,cipher-tests.patch,common,2020-06-24 21:47:13,2018-04-02 13:38:59
tcltls,tcltls-1.7.22-cert-tests.patch,certs-tests.patch,common,2022-05-28 20:40:35,2019-07-18 12:01:09
tcltls,tcltls-1.7.22-openssl3.patch,openssl3.patch,common,2022-05-28 20:40:35,2022-03-20 12:12:20
tcltls,tcltls-1.7.22-fall-through.patch,fall-through.patch,common,2022-05-28 20:40:35,2019-09-14 07:58:14
tcltls,tcltls-1.7.21-hostname-tests.patch,hostname-tests.patch,common,2020-06-24 21:47:13,2019-07-18 12:01:09
tcpick,tcpick-0.2.1-ppc.patch,fix-infinite-loop-on-powerpc.patch,common,2006-09-09 22:39:43,2016-12-09 22:14:00
tcpick,tcpick-0.2.1-cpu-loop.patch,fix-double-free-error.patch,similar,2006-09-09 22:39:43,2016-12-09 22:14:00
vnstat,vnstat.service.patch,debian/systemd_user.diff,common,2015-12-01 07:10:19,2014-09-03 20:54:20
warmux,warmux-gcc60.patch,10_fix_build_gcc60.patch,common,2016-03-10 15:56:04,2016-07-01 15:46:26
warmux,warmux-zlib.patch,05_fix_build_libpng15.patch,common,2012-02-27 13:59:36,2012-03-10 15:42:52
wvdial,wvdial-1.61-typo_pon.wvdial.1.patch,010_typo_pon.wvdial.1.patch,common,2019-01-04 14:15:30,2022-02-05 16:50:20
wvdial,wvdial-1.61-ftbfs_with_gcc_4.5.patch,020_ftbfs_with_gcc_4.5.patch,common,2019-01-04 14:15:30,2022-02-05 16:50:20
zinnia,zinnia-fixes-gcc6-compile.patch,gcc6.diff,common,2016-02-17 04:25:30,2018-11-28 17:51:20
zipios,zipios++-zipinputstreambuff.patch,zipinputstreambuf.diff,common,2012-06-27 15:41:32,2016-08-19 13:00:30
zipios,zipios++-amd64_fix.patch,amd64_fix.diff,common,2012-04-17 21:10:48,2016-08-19 13:00:30
abiword,abiword-3.0.0-librevenge.patch,librevenge.patch,similar,2014-05-27 14:28:17,2014-08-09 01:33:06
almanah,0001-build-remove-positional-i18n.merge_file-arguments.patch,fix-meson-061.patch,common,2022-07-19 19:54:21,2022-03-02 11:33:17
autogen,autogen-fortify.patch,40_suse_06-autogen-avoid-GCC-code-analysis-bug.patch,common,2023-02-28 15:42:43,2022-05-24 17:08:52
bijiben,meson-0.61-build.patch,meson-fix-build-with-meson-0.61.patch,common,2022-07-20 08:11:21,2022-02-21 21:40:17
binwalk,https://github.com/ReFirmLabs/binwalk/pull/559/commits/6e7736869d998edb6384728c03a348cd9ab1f9ca.patch,559.patch,common,2022-12-27 22:06:55,2023-02-04 10:20:51
caribou,fix-style-css.patch,fix-font-property-in-style.css.patch,common,2020-01-08 16:41:38,2017-12-01 20:10:19
caribou,drop_gir_patch.patch,stop-patching-generated-gir.patch,common,2021-04-20 09:03:00,2021-12-12 17:21:47
caribou,Fix-compilation-error.patch,Fix-compilation-error.patch,common,2021-01-13 09:53:17,2021-01-15 14:57:09
caribou,xadapter.vala-Remove-XkbKeyTypesMask-and-f.patch,xadapter.vala-Remove-XkbKeyTypesMask-and-f.patch,common,2021-01-13 09:53:17,2021-01-15 14:57:09
caribou,Fix-subkey-popmenu-not-showing-after-being-dismissed.patch,Fix-subkey-popmenu-not-showing-after-being-dismissed.patch,common,2021-01-13 09:53:17,2021-01-15 14:57:09
cppunit,run-tests-in-deterministic-order.patch,run-tests-in-deterministic-order.diff,common,2023-08-24 06:51:48,2021-10-21 19:44:32
crrcsim,crrcsim-0.9.13-support-for-platforms-without-sys-io.h.patch,06-sys_io_missing.patch,similar,2017-12-21 11:24:45,2014-09-04 11:18:50
gkrellm,10_fix_glib_underlinkage.patch,10_fix_glib_underlinkage.patch,common,2019-08-25 21:38:14,2013-06-29 19:40:44
gkrellm,05_bts437033_fix_strip.patch,05_bts437033_fix_strip.patch,common,2019-08-25 21:38:14,2008-09-07 21:03:59
gkrellm,04_fix_manpage_hyphen.patch,04_fix_manpage_hyphen.patch,common,2019-08-25 21:38:14,2008-09-06 18:22:10
glabels,glabels-externs.patch,gcc10_build_fix.patch,common,2020-02-03 07:55:38,2020-11-23 20:25:02
jbigkit,jbigkit-2.0-warnings.patch,unusedResultPedantry.diff,common,2012-07-17 14:29:18,2014-07-21 15:17:04
jglobus,jglobus-DERObjectIdentifier-is-obsolete.patch,jglobus-DERObjectIdentifier-is-obsolete.patch,common,2015-06-18 04:29:41,2015-08-14 05:18:49
jglobus,jglobus-remove-unused-FORCE_SSLV3_AND_CONSTRAIN_CIPHERSUITES.patch,jglobus-remove-unused-FORCE_SSLV3_AND_CONSTRAIN_CIPHERSUITES.patch,common,2019-02-10 07:09:42,2019-02-22 04:59:48
jglobus,jglobus-do-not-accumulate-matches-in-GlobusPathMatchingResou.patch,jglobus-do-not-accumulate-matches-in-GlobusPathMatchingResou.patch,common,2018-10-30 09:03:47,2018-11-04 05:58:55
jglobus,jglobus-adapt-to-changes-in-PrivateKeyInfo-class.patch,jglobus-adapt-to-changes-in-PrivateKeyInfo-class.patch,common,2019-02-10 07:09:42,2019-02-22 04:59:48
jglobus,jglobus-do-not-force-SSLv3-TLSv1-allow-TLSv1.1-TLSv1.2.patch,jglobus-do-not-force-SSLv3-TLSv1-allow-TLSv1.1-TLSv1.2.patch,common,2018-10-30 09:03:47,2018-11-04 05:58:55
jglobus,jglobus-javadoc.patch,jglobus-javadoc.patch,common,2017-07-03 11:32:28,2017-06-30 07:14:35
jglobus,jglobus-remove-synchronization-on-CRL-in-CRLChecker.patch,jglobus-remove-synchronization-on-CRL-in-CRLChecker.patch,common,2018-10-30 09:03:47,2018-11-04 05:58:55
jglobus,jglobus-only-allow-TLSv1-and-TLSv1.2-not-TLSv1.1.patch,jglobus-only-allow-TLSv1-and-TLSv1.2-not-TLSv1.1.patch,common,2019-02-10 07:09:42,2019-02-22 04:59:48
jglobus,jglobus-dont-force-SSLv3.patch,jglobus-dont-force-SSLv3.patch,common,2015-06-18 04:29:41,2015-08-14 05:18:49
jglobus,jglobus-support-PKCS8-key-format.patch,jglobus-support-PKCS8-key-format.patch,common,2018-10-30 09:03:47,2018-11-04 05:58:55
jglobus,jglobus-key-usage.patch,jglobus-key-usage.patch,common,2017-07-03 11:32:28,2017-06-30 07:14:35
js8call,js8call-hamlib.patch,no-rigctl,similar,2019-04-02 20:43:14,2019-12-21 22:11:23
kreport,0019-Fix-build-with-GCC-10-make-KReportGroupTracker-use-C.patch,upstream_Fix-build-with-GCC-10-make-KReportGroupTracker-use-C.patch,common,2021-02-18 13:17:22,2020-11-26 15:56:19
libbs2b,libbs2b-security.patch,fix-format-security-warning.diff,common,2014-07-03 12:43:56,2022-03-12 21:15:27
libcdio,format-security.patch,src-cdda-player.c-always-use-s-style-format-for-prin.patch,common,2022-07-10 22:26:55,2021-11-02 16:20:45
libcdio,realpath-test-fix.patch,Correct-realpath-test-failure.patch,common,2022-08-30 11:42:27,2022-09-27 09:23:37
libclaw,libclaw-1.7.4-gcc7.patch,gcc7.patch,common,2017-01-30 17:17:20,2024-11-08 16:23:10
libgadu,libgadu-1.12.2-gcc10.patch,0001-Fix-compilation-with-fno-common.patch,common,2020-02-24 15:57:02,2020-04-28 08:42:06
libm4ri,m4ri-no-sse3.patch,disable_sse3.patch,common,2011-04-23 16:33:34,2013-03-28 07:12:13
log4cpp,03_aclocal_automake.diff,03_aclocal_automake.diff,common,2022-02-15 20:07:53,2016-08-09 15:06:55
log4cpp,log4cpp-1.0-fix-doc-dest.patch,02_doc_install_path.diff,similar,2008-12-15 20:36:27,2016-08-09 15:06:55
lua:lgi,lgi-0.9.2-fix-s390x.patch,ftbfs_bigendian64.patch,common,2019-02-08 14:57:41,2017-10-31 13:32:33
mpsolve,mpsolve-autoconf-2.70.patch,autoconf-2.70.patch,common,2021-03-25 16:13:02,2021-11-01 15:32:35
mypaint,0002-python311.patch,python3.11.patch,common,2023-01-24 18:56:41,2023-01-03 21:11:31
nrg2iso,nrg2iso-optflags.patch,makefile.patch,similar,2007-03-10 20:30:27,2008-11-20 14:58:16
opendbx,opendbx-1.4.6-doxygen-1.9.1.patch,inputname.diff,similar,2021-08-23 03:11:30,2014-09-05 17:32:17
overgod,overgod-1.0-shield_bmp_array_overrun.patch,040_fix_array_overrun.patch,common,2014-06-16 14:08:22,2013-08-03 21:36:57
overgod,overgod-1.0-format-string.patch,030_security_build_warns.patch,similar,2014-06-16 14:08:22,2013-08-03 21:36:57
perl:wx,gtk3.patch,gtk3.patch,common,2018-08-22 03:25:01,2018-04-03 23:03:34
perl:wx,wxWidgets_3.2_port.patch,wxWidgets_3.2_port.patch,common,2023-01-20 14:50:17,2023-01-07 21:05:29
perl:wx,wxWidgets_3.2_MakeMaker.patch,wxWidgets_3.2_MakeMaker.patch,common,2023-01-20 14:50:17,2022-09-15 17:25:22
planets,planets-0.1.13-ocaml4.patch,ocaml4_typing,common,2014-06-24 15:31:36,2013-12-07 08:16:17
pnglite,pnglite-0.1.17-zlib.patch,system-zlib.patch,common,2009-01-04 21:25:52,2008-04-18 00:43:55
pnm2ppa,pnm2ppa-gcc10.patch,0005-Declare-syslog_message-correctly-for-GCC-10-FTBFS.patch,common,2020-02-03 13:15:48,2020-07-24 08:49:31
pybluez,427.patch,Use-Py_ssize_t-when-parsing-buffer-length-fix-426-42.patch,similar,2022-01-07 16:36:39,2022-05-28 04:46:17
sailcut,sailcut_includes.patch,fix_includes.patch,common,2018-07-17 17:10:12,2018-09-08 16:10:28
shntool,large-times.patch,large-times.patch,common,2018-04-17 16:26:54,2014-11-14 21:06:26
shntool,no-cdquality-check.patch,no-cdquality-check.patch,common,2018-04-17 16:26:54,2014-11-14 21:06:27
shntool,large-size.patch,large-size.patch,common,2018-04-17 16:26:54,2014-11-14 21:06:26
